scene,scene_id,sobel_edge_pct,canny_edge_pct
scene_01,L15-0331E-1257N_1327_3160_13,13.07,4.45
scene_02,L15-0357E-1223N_1429_3296_13,21.95,9.82
scene_03,L15-0358E-1220N_1433_3310_13,22.94,11.5
scene_04,L15-0361E-1300N_1446_2989_13,20.72,4.54
scene_05,L15-0368E-1245N_1474_3210_13,29.28,8.99
scene_06,L15-0387E-1276N_1549_3087_13,21.26,6.18
scene_07,L15-0434E-1218N_1736_3318_13,3.81,1.46
scene_08,L15-0457E-1135N_1831_3648_13,20.21,10.61
scene_09,L15-0487E-1246N_1950_3207_13,14.33,1.25
scene_10,L15-0506E-1204N_2027_3374_13,14.22,7.08
scene_11,L15-0544E-1228N_2176_3279_13,14.39,10.73
scene_12,L15-0566E-1185N_2265_3451_13,7.46,1.94
scene_13,L15-0571E-1075N_2287_3888_13,24.95,14.0
scene_14,L15-0577E-1243N_2309_3217_13,25.1,15.2
scene_15,L15-0586E-1127N_2345_3680_13,14.72,7.84
scene_16,L15-0595E-1278N_2383_3079_13,14.65,2.56
scene_17,L15-0614E-0946N_2459_4406_13,19.02,12.77
scene_18,L15-0632E-0892N_2528_4620_13,17.79,1.78
scene_19,L15-0683E-1006N_2732_4164_13,16.85,8.83
scene_20,L15-0760E-0887N_3041_4643_13,18.07,10.14
scene_21,L15-0924E-1108N_3699_3757_13,22.68,8.74
scene_22,L15-0977E-1187N_3911_3441_13,9.15,2.59
scene_23,L15-1014E-1375N_4056_2688_13,6.38,3.3
scene_24,L15-1015E-1062N_4061_3941_13,11.5,2.6
scene_25,L15-1025E-1366N_4102_2726_13,12.19,3.77
