Feature,Importance
canny_density,0.3218385433609435
area,0.177664425907627
perimeter,0.1114292665737207
extent,0.08818100695794868
glcm_entropy,0.07146281281417023
glcm_energy,0.048156649883642745
glcm_homogeneity,0.044072534783781904
circularity,0.043396708061323626
glcm_asm,0.022388370759751117
solidity,0.021757675821068752
pixel_var,0.0090093057168903
pixel_entropy,0.007304100000274456
glcm_contrast,0.006866282570132985
std_intensity,0.006844277391604624
glcm_dissimilarity,0.006537425760432649
mean_intensity,0.0049727690594612755
eccentricity,0.004798022649071531
glcm_correlation,0.0033198219281539024
